id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
Ugy0Ydp_gCfvbxL9hkN4AaABAg,Jadi kangen sama jogja aku,UCaYJuUA7UeID4BUQ10XdCWw,@ekaprastioc9749,2,2023-04-30T09:35:09Z
UgzZc8Ne2bI9HInZkkR4AaABAg,"Mantaaapp👍👍👍👏👏👏sangat menghibur kalian anak"" muda harapan bangsa,...semoga Sukses SELALU kedepanxa kalian bersama🤲🤲👌🙏❤️",UCnIHhZ78VfElS6DU4o9mMpw,@omori5020,2,2023-06-06T06:11:51Z
UgzdHXcdXjnkB84iye94AaABAg,Jek enek begal ra sih?,UC-WrjRe9pW51jL9a7cBFD5g,@damibaskoro3213,2,2023-04-12T20:52:20Z
Ugw8atpW3A_AF-ExokN4AaABAg,Keren mantap,UC1IoyDU3-JHht9TMFd7yZ8A,@johannamagdalena6901,2,2023-04-13T05:46:47Z
9oRl3ZMTKlZ9qJnejS1XZm,"​@@yudimartono705 minta foto kalo ga ya ikutan joget, orang bahagia dg caranya sendiri 😊😂",UCdwmyRYZ_i392ZTKRWewf9A,@ayupujilestari4257,2,2023-05-30T01:10:01Z
Ugz7LDDkI6bJ2bc6nQl4AaABAg,Pernah kesana karna Study tour.... tapi udh lama 😐 Jdi pingin kesna lgi deh... kayanya mlem2 disna udaranya adem...,UCg4bUb8O0sePbcs8zPaFV0g,@AliaNu315,2,2023-05-13T22:54:14Z
UgyrThuHH_gAOy0jc_x4AaABAg,dance ini kurang pas untuk laki-laki,UC2uW_eMfa21s31VbbSH9c2A,@FiQ_Nudi,2,2023-04-18T07:46:21Z
UgxKb6G_Kop_nOeb5GZ4AaABAg,Pengen polll neng Malioboro🥺 trs ketemu mbk Dyah,UCdJZl4XKzUb4FpQpQ-RsHRg,@ndyam.zuniarti1613,2,2023-04-20T07:23:52Z
UgzUBoXCRuLStj0y-2h4AaABAg,Pingin ketemu tp blum pernah dapet. Pengen nari joget bareng 😅❤❤❤❤❤sehat sllu kalian nggeh,UCj3l5T6kqyoF7z1OPYrJN_w,@noviomahjamu9760,2,2023-04-19T21:12:53Z
UgyaNyRNV5U_rgN33Il4AaABAg,keren dancenya,UCiTGfKe5QsN_xYQ5wi_GSlw,@andhiyudhasofianbp,2,2023-05-15T14:51:01Z
UgwG3f-yeGqqNreqjQF4AaABAg,aku udah selesai kak ke Malioboro nya pas piknik keluarga kak,UC4MWpWZR54q3vcinSch5xzA,@Windyarti567-wv1yc,2,2023-05-26T12:19:34Z
UgzpzpNaipkjPRDwQJp4AaABAg,Gak malu kamu banyak orang bergoyang dan kamu gak malu apa,UC6x9ufUOib8T_uF9LQvXJpw,@srimulyati-tl9ci,2,2023-05-05T14:00:51Z
UgwEDbKRY3IOzFd6_rR4AaABAg,Selalu cinta dengan Jogja. Insya Allah Suatu saat  akan ke jogja Kembali. ❤,UCIxWjfFK649Mr3aRYGT_LDw,@ekomeiyulistanti6441,2,2023-05-10T05:28:34Z
UgyllkKr5Shinu7yQEt4AaABAg,Adem tenan oppo banyak calok2 nya nggak yo sebab dah kemakan cerita wasito yg mati di kali bledu nagoya batam pas di bandara sultan mahmud badarudin 2 tanjung api2 sumsel jd ragu sm jawa asal usul bpk mamakku 😊😊😓😓,UCDXvYW8cRhYbQ3J0K1-tcZQ,@gebyong6962,2,2023-05-18T08:33:02Z
Ugy6yhXqM66_9QwlPQZ4AaABAg,siiP,UCd5N6fqSnsDhdb6UCD4ze2g,@de54kudes4ku8,1,2023-07-05T16:29:17Z
UgyWjWBYj1aytTHV46F4AaABAg,deket rumah ini kak ❤,UC34JuAEXayRYAcGA4YoAfNQ,@KaivanoAW,1,2023-05-10T20:27:38Z
