id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
UgyOpyuBddjsdBFSyV14AaABAg,"Good children, terrible teacher",UCFsdzzyxvtLA96YdXffL-YQ,@lambdrey,4,2024-05-26T21:12:41Z
A3uyEdFcox1A3v4pTL6f8m,@@MemeZeeHoly Yapperdoodles *(I still love you pookie bear 😘)*,UC6wLnTqPu_v8VWJhbzoHCqA,@Chicken_And_Cardboard,3,2024-05-26T21:19:26Z
UgwA3YiKkw7dTUFskrl4AaABAg,Brainrot at its finest 🗣️🗣️🗣️🗣️🔥🔥🔥🔥🔥💥💥💥💥💥💥💥💥💥💯💯💯💯💯💯,UCCL-0NjClIpoTi6xeSMg8yA,@robloxserversded,2,2024-05-26T20:13:19Z
UgziToNuCwS91-3ihlF4AaABAg,We’re going to the shadow realm with this one,UCO4Q90g8Wvt4rTBNcwsk0Jw,@Huttares,2,2024-05-26T23:35:01Z
UgxReGZZdw7sqxANShh4AaABAg,What de skibidi,UC1ghFvfPKvYl1zbo1bimenA,@Blueboltz0,2,2024-05-27T17:32:39Z
A3uyEdFcox1A3v-N4mgPA6,ey here before memezee,UCzqTXwAeNe54OVeQxOzmIHQ,@Big_fodrat,2,2024-05-26T20:31:44Z
A3uyEdFcox1A3uzw9EcIGz,Who let bro cook?,UCicZoXZ0re3gncvvyk3ObhQ,@Awesomer104,2,2024-05-26T20:27:55Z
UgzHR_gzwy28rcB6Ejl4AaABAg,Ermm? What the sigma,UC0bcrVXiBGi4sphVCt1hP4A,@GOOFYY691,2,2024-05-26T20:16:36Z
Ugz19YjvpqGMa9tAqH14AaABAg,"""Put that on skibidi"" should be a new gen beta line lol",UCTa-hm4lq6fj34pMCDYuR-g,@PerfectionReincarnated,2,2024-05-26T20:22:56Z
UgwlrPK2j7kwC3xT2wR4AaABAg,Erm what the Sigma ,UCRPxoOKSDlCNjx1g8ARwdEA,@Lean_Dude,2,2024-05-26T20:53:09Z
UgzS6XgNBaKqg1BMqRB4AaABAg,"“1 View 1 Minute”

*”75 Comments, 100 Likes”*",UCbQzS1LUGE1Ue_lxQ68o5YQ,@ThatSocialKid,2,2024-05-26T20:11:23Z
UgxGYktq1PWOg282gsx4AaABAg,What the hell🗣️🔥🔥,UC_3s1MFAOehN-StENUltBeQ,@bl_ankID,2,2024-05-27T13:14:46Z
A3uyEdFcox1A3v47CqYXAf,@@MemeZeewhat the sigma,UCmXPg3FgNo-g67w62c7OYDw,@americatankguy,2,2024-05-26T21:13:15Z
