id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
8uKFnfu0oKl8uLsNOfDxBT,"Alhamdulillah, ilmu dri mbak nik brmanfaat utk banyak org. Semoga jadi amal jariah utk mbak nik. Aamiin",UC4L-yHfvzX-dFFijb_M3KwQ,@luckygirl9093,5,2019-04-30T13:06:02Z
UgyenJk5Wnff82seDvd4AaABAg,Aku ngliatnya aja takut pas Casandra mau naik itu Mb tp anak2 Mbk  Nik pemberani semua ya mb selamat berlibur Mb salam buat anak2 dan Pak Dobson,UCeqz-TF6CStrCrM7I5OIy7A,@rusmiyati6988,5,2019-04-29T22:41:11Z
UgyTGi9zv3PJXdSfv6x4AaABAg,"Mba..kunjungi Bandung dunk..coba wisata kulinernya..trus mba buat tutorial resep2 makanannya/jajanannya..kayak batagor..,cilok..,cimol..,seblak..,dll, yummy2 mba....",UCFmdiL4Xs64Rdls_NNg2QpQ,@diyahchandra1872,5,2019-04-30T03:26:11Z
UgzX2avwtcNpEZK7J4l4AaABAg,"Indahnya permandangan di Kalibiru,udara yang segar,semoga Ros n family menikmati percutian ini",UCmHP7w1KKE19xei_rA-h9Qg,@linaabdkadir1151,4,2019-04-29T23:15:24Z
UgwV1YSKjjBAsW0yXPt4AaABAg,"Ini vidio yg saya tunggu2 mbak...akhirnya Mbak Nik kedaerah saya  di Kulon Progo, sayang kita tetep gak bisa jumpa darat mbak, saya masih di perantauan.
Salam sehat selalu Mbak buat sampeyan dan keluarga...💗💕",UCTlo1cU1TI363WHu--yAIqw,@ummibalqis3422,4,2019-04-30T02:50:11Z
UgyEKLJt-X_KLUNVF2F4AaABAg,"Assalamualaikum, anak2 yg menyenangkan salam sayang dr km sekeluarga..😍😍😍😘",UCd_YnBe3iKySQwu6dUnAozw,@marliagunawan7270,4,2019-04-30T01:35:33Z
UgwXY4rkpgPFiPFGeuV4AaABAg,Assalamualaikum mbak ni dan klurga...sehat sll ya mbak nik...jln2 no negorone dewe....mngenalkan alam Indonesia buat anak&suami......ora mampir ke blitar mbak?,UC0nhWqZIwJomupqGNsKQwQQ,@sitimuryanti8107,4,2019-04-29T23:49:34Z
UgzhSrUi0_fCl3pTQWJ4AaABAg,Pas Pak Dobson naik trs bergaya diatas aku mrinding mb takut ngliatnya,UCeqz-TF6CStrCrM7I5OIy7A,@rusmiyati6988,4,2019-04-29T22:44:35Z
8uKFnfu0oKl8uKmz7ad2KP,"Aku ya pengen kak..tapi belom ada alat2nya,😄",UC6CZ08Ng5G8Cdnn_Q2UDQwQ,@rianawalle6668,4,2019-04-30T02:59:39Z
UgxR0ATQo-mZkHO1Zzl4AaABAg,"Yogyakarta....
Family...",UCaRx7R7oFmEORNPTUjBz4Og,@herryprasetyo3078,4,2019-04-29T23:37:24Z
8uKFnfu0oKl8uKwv1hEMLt,"Sukses trus jualannya mba, moga makin laris",UCAYIAFm-hvpxwKIp8QJ-riw,@storyofelchannel,4,2019-04-30T04:26:28Z
UgxXVbj1-OSzsAfPJjJ4AaABAg,"happy family,  ank"" baik  😊",UCER_VCf76OKWOxsZmCG85sg,@yudhiherawanto9312,4,2019-04-29T23:27:05Z
UgwQfNU_CWwBvcnr90Z4AaABAg,Pemandangan nya keren mbk nik ... 👍,UCCAMCoRdX1kt0RAtuecKTYw,@Ning-changg,4,2019-04-29T21:54:59Z
